soc6,task_exposure,title,AIOE,lm_aioe,task_z,aioe_z,ensemble_z,task_rank,aioe_rank,rank_gap
13-2041,0.8432,Credit Analysts,1.3453,1.0925,1.827,1.3529,1.5899,3,61,-58
43-9111,0.8271,Statistical Assistants,1.39,1.053,1.7507,1.3972,1.5739,7,32,-25
13-2031,0.7973,Budget Analysts,1.503,1.3,1.6094,1.5091,1.5593,11,5,6
31-9094,0.8893,Medical Transcriptionists,1.0626,1.1962,2.0455,1.0728,1.5591,1,154,-153
23-2093,0.8437,"Title Examiners, Abstractors, and Searchers",1.28,1.3842,1.8294,1.2881,1.5587,2,101,-99
13-2082,0.8359,Tax Preparers,1.2937,1.1437,1.7924,1.3018,1.5471,5,93,-88
15-2021,0.7953,Mathematicians,1.4723,1.1662,1.5999,1.4788,1.5393,12,9,3
13-2011,0.7877,Accountants and Auditors,1.482,1.214,1.5639,1.4883,1.5261,15,8,7
27-3042,0.8357,Technical Writers,1.184,1.3166,1.7914,1.1931,1.4923,6,127,-121
43-3051,0.8178,Payroll and Timekeeping Clerks,1.2576,1.1555,1.7066,1.266,1.4863,9,109,-100
43-4131,0.7899,Loan Interviewers and Clerks,1.3644,1.2742,1.5743,1.3718,1.4731,14,46,-32
15-2041,0.7764,Statisticians,1.3827,1.2433,1.5106,1.39,1.4503,20,37,-17
43-3031,0.8418,"Bookkeeping, Accounting, and Auditing Clerks",1.0397,0.8181,1.8203,1.0501,1.4352,4,161,-157
13-2071,0.7677,Credit Counselors,1.3854,1.3553,1.4691,1.3926,1.4309,24,36,-12
23-2011,0.7867,Paralegals and Legal Assistants,1.2921,1.3327,1.5592,1.3001,1.4297,16,94,-78
43-4041,0.7552,"Credit Authorizers, Checkers, and Clerks",1.4403,1.5456,1.4099,1.447,1.4284,31,14,17
13-1111,0.7532,Management Analysts,1.4324,1.5476,1.4004,1.4392,1.4198,32,18,14
23-1012,0.7459,Judicial Law Clerks,1.463,1.5126,1.3658,1.4695,1.4176,40,10,30
13-2072,0.7614,Loan Officers,1.3857,1.4775,1.4393,1.393,1.4161,27,35,-8
43-9041,0.7918,Insurance Claims and Policy Processing Clerks,1.2402,1.2572,1.5833,1.2488,1.4161,13,113,-100
13-1051,0.7607,Cost Estimators,1.3677,1.1341,1.4359,1.3751,1.4055,28,43,-15
15-2031,0.7524,Operations Research Analysts,1.4,1.2336,1.3966,1.4071,1.4019,34,30,4
43-9081,0.7756,Proofreaders and Copy Markers,1.2884,1.4362,1.5066,1.2965,1.4015,21,95,-74
13-2051,0.751,Financial and Investment Analysts,1.3806,1.2728,1.39,1.3879,1.3889,36,38,-2
13-1161,0.7375,Market Research Analysts and Marketing Specialists,1.4268,1.3563,1.3262,1.4336,1.3799,48,20,28
13-2099,0.7405,Financial Quantitative Analysts,1.3614,1.2526,1.3402,1.3688,1.3545,43,48,-5
19-3094,0.728,Political Scientists,1.4189,1.6865,1.2809,1.4258,1.3534,53,23,30
13-1141,0.7224,"Compensation, Benefits, and Job Analysis Specialists",1.441,1.3618,1.2544,1.4477,1.3511,58,13,45
13-1023,0.7078,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.5092,1.4957,1.1852,1.5153,1.3502,68,4,64
13-2081,0.7333,"Tax Examiners and Collectors, and Revenue Agents",1.3668,1.2532,1.3061,1.3742,1.3401,51,45,6
43-3061,0.7076,Procurement Clerks,1.4878,1.5899,1.1842,1.4941,1.3392,69,7,62
13-2053,0.7404,Insurance Underwriters,1.3267,1.262,1.3397,1.3344,1.3371,44,78,-34
41-9041,0.7839,Telemarketers,1.1181,1.9256,1.5459,1.1278,1.3369,17,147,-130
19-3011,0.7224,Environmental Economists,1.4038,1.3301,1.2546,1.4108,1.3327,57,27,30
11-3061,0.7156,Purchasing Managers,1.4234,1.3931,1.2222,1.4303,1.3262,63,22,41
43-3021,0.734,Billing and Posting Clerks,1.3335,1.1357,1.3094,1.3412,1.3253,49,74,-25
19-3022,0.7127,Survey Researchers,1.4265,1.2785,1.2084,1.4334,1.3209,66,21,45
13-2061,0.6916,Financial Examiners,1.5261,1.3576,1.1084,1.532,1.3202,95,2,93
27-3091,0.7771,Interpreters and Translators,1.1113,1.352,1.5137,1.1211,1.3174,19,148,-129
43-4021,0.7678,Correspondence Clerks,1.1498,1.1842,1.4696,1.1591,1.3144,23,134,-111
41-3011,0.7633,Advertising Sales Agents,1.1626,1.1221,1.4483,1.1719,1.3101,25,131,-106
19-4061,0.753,Social Science Research Assistants,1.2047,1.1259,1.3994,1.2135,1.3065,33,123,-90
13-1081,0.7316,Logistics Engineers,1.2973,1.0814,1.298,1.3053,1.3017,52,90,-38
19-2012,0.7198,Physicists,1.3457,1.0966,1.2421,1.3533,1.2977,60,60,0
11-3031,0.6979,Investment Fund Managers,1.4462,1.2946,1.1381,1.4529,1.2955,82,12,70
43-4061,0.7432,"Eligibility Interviewers, Government Programs",1.2263,1.4167,1.353,1.235,1.294,42,117,-75
43-4161,0.7136,"Human Resources Assistants, Except Payroll and Timekeeping",1.3531,1.4807,1.2127,1.3606,1.2867,65,51,14
27-3041,0.7604,Editors,1.1282,1.1906,1.4345,1.1378,1.2862,29,143,-114
41-3041,0.7588,Travel Agents,1.1336,1.2784,1.4269,1.1431,1.285,30,142,-112
19-3099,0.7181,Transportation Planners,1.328,1.0848,1.234,1.3358,1.2849,62,76,-14
43-4031,0.751,"Court, Municipal, and License Clerks",1.1663,1.3362,1.39,1.1755,1.2827,36,129,-93
25-1082,0.7029,"Library Science Teachers, Postsecondary",1.3863,1.6264,1.162,1.3935,1.2777,75,34,41
25-1125,0.6914,"History Teachers, Postsecondary",1.4375,1.8134,1.1075,1.4442,1.2759,96,15,81
13-2052,0.699,Personal Financial Advisors,1.4007,1.3957,1.1435,1.4078,1.2757,80,29,51
43-4011,0.7504,Brokerage Clerks,1.1449,1.0264,1.3871,1.1543,1.2707,38,138,-100
27-3043,0.7828,"Poets, Lyricists and Creative Writers",0.9879,1.1701,1.5407,0.9988,1.2697,18,178,-160
41-3031,0.7238,"Securities, Commodities, and Financial Services Sales Agents",1.2563,1.2599,1.261,1.2647,1.2629,56,110,-54
19-3041,0.6901,Sociologists,1.4111,1.7475,1.1013,1.4181,1.2597,98,25,73
17-2011,0.7044,Aerospace Engineers,1.3387,1.1168,1.1691,1.3464,1.2577,70,67,3
25-1126,0.6957,"Philosophy and Religion Teachers, Postsecondary",1.3635,1.7999,1.1278,1.3709,1.2494,89,47,42
29-9092,0.6595,Genetic Counselors,1.5277,1.4776,0.9563,1.5336,1.2449,163,1,162
25-1111,0.6876,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.39,1.7541,1.0894,1.3972,1.2433,108,31,77
17-2041,0.6973,Chemical Engineers,1.3413,0.906,1.1354,1.349,1.2422,84,65,19
41-3021,0.6968,Insurance Sales Agents,1.3413,1.4269,1.1331,1.3489,1.241,85,66,19
25-1123,0.6802,"English Language and Literature Teachers, Postsecondary",1.4178,1.8569,1.0544,1.4248,1.2396,122,24,98
15-2011,0.6558,Actuaries,1.5165,1.1996,0.9387,1.5225,1.2306,169,3,166
25-1065,0.6865,"Political Science Teachers, Postsecondary",1.3684,1.7696,1.0842,1.3758,1.23,110,42,68
25-1112,0.6884,"Law Teachers, Postsecondary",1.3564,1.8019,1.0932,1.3639,1.2286,101,50,51
19-1041,0.6715,Epidemiologists,1.4363,1.2842,1.0131,1.443,1.2281,142,17,125
25-1122,0.6879,"Communications Teachers, Postsecondary",1.3474,1.7017,1.0909,1.355,1.2229,105,57,48
11-9121,0.6918,Water Resource Specialists,1.3279,1.2413,1.1092,1.3357,1.2224,94,77,17
11-3111,0.6975,Compensation and Benefits Managers,1.2982,1.4667,1.1364,1.3063,1.2213,83,89,-6
25-1124,0.6882,"Foreign Language and Literature Teachers, Postsecondary",1.3341,1.8139,1.0923,1.3418,1.2171,103,71,32
25-1062,0.6933,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.3087,1.6688,1.1165,1.3166,1.2165,92,85,7
25-1063,0.6901,"Economics Teachers, Postsecondary",1.319,1.4619,1.1013,1.3268,1.2141,98,81,17
11-2021,0.6899,Marketing Managers,1.315,1.2038,1.1003,1.3229,1.2116,100,84,16
25-1022,0.6848,"Mathematical Science Teachers, Postsecondary",1.3387,1.4069,1.0762,1.3463,1.2113,113,68,45
41-9031,0.7248,Sales Engineers,1.1454,1.0259,1.2658,1.1548,1.2103,55,137,-82
25-1032,0.681,"Engineering Teachers, Postsecondary",1.3511,1.3372,1.0582,1.3587,1.2084,119,52,67
13-1071,0.6787,Human Resources Specialists,1.36,1.5575,1.0473,1.3675,1.2074,126,49,77
19-2021,0.6737,Atmospheric and Space Scientists,1.3739,1.2595,1.0236,1.3812,1.2024,135,40,95
25-1011,0.6783,"Business Teachers, Postsecondary",1.3493,1.6182,1.0454,1.3569,1.2011,127,53,74
23-1021,0.6702,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.3747,1.5471,1.007,1.382,1.1945,146,39,107
13-1199,0.7379,Business Continuity Planners,1.0477,0.925,1.3277,1.058,1.1929,47,157,-110
27-3031,0.6882,Public Relations Specialists,1.2849,1.5176,1.0923,1.2931,1.1927,103,97,6
25-1067,0.6744,"Sociology Teachers, Postsecondary",1.3492,1.7705,1.0269,1.3568,1.1918,134,54,80
25-1061,0.6794,"Anthropology and Archeology Teachers, Postsecondary",1.3217,1.5343,1.0506,1.3295,1.19,124,79,45
25-1053,0.6734,"Environmental Science Teachers, Postsecondary",1.3475,1.6033,1.0221,1.3551,1.1886,136,56,80
25-9031,0.681,Instructional Coordinators,1.3019,1.3238,1.0582,1.3098,1.184,119,88,31
25-1064,0.6773,"Geography Teachers, Postsecondary",1.3189,1.6285,1.0406,1.3267,1.1837,130,82,48
11-2011,0.6819,Advertising and Promotions Managers,1.2944,1.2172,1.0624,1.3024,1.1824,117,92,25
43-5011,0.6549,Freight Forwarders,1.4054,1.2545,0.9345,1.4125,1.1735,170,26,144
43-4051,0.7483,Customer Service Representatives,0.9563,1.0759,1.3772,0.9674,1.1723,39,184,-145
41-1012,0.673,First-Line Supervisors of Non-Retail Sales Workers,1.3162,1.2586,1.0202,1.3241,1.1721,139,83,56
11-1011,0.669,Chief Sustainability Officers,1.3342,1.3089,1.0015,1.3419,1.1717,147,70,77
25-1031,0.6908,"Architecture Teachers, Postsecondary",1.222,1.2463,1.1046,1.2307,1.1677,97,118,-21
25-1051,0.6726,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.3062,1.5219,1.0183,1.3141,1.1662,141,86,55
25-1066,0.6668,"Psychology Teachers, Postsecondary",1.3337,1.7165,0.9909,1.3414,1.1661,151,73,78
17-3011,0.7521,Architectural and Civil Drafters,0.9234,0.5539,1.3952,0.9348,1.165,35,190,-155
17-2031,0.7386,Bioengineers and Biomedical Engineers,0.9874,0.7338,1.3312,0.9983,1.1647,45,179,-134
19-3051,0.6879,Urban and Regional Planners,1.2275,1.0755,1.0909,1.2362,1.1635,105,116,-11
17-2161,0.6711,Nuclear Engineers,1.303,1.0731,1.0112,1.311,1.1611,143,87,56
25-1113,0.6614,"Social Work Teachers, Postsecondary",1.3473,1.7388,0.9653,1.3549,1.1601,161,58,103
13-1131,0.6816,Fundraisers,1.2426,1.4047,1.061,1.2511,1.1561,118,112,6
25-1043,0.6762,"Forestry and Conservation Science Teachers, Postsecondary",1.2603,1.5629,1.0354,1.2686,1.152,132,107,25
13-1031,0.6731,"Claims Adjusters, Examiners, and Investigators",1.274,1.1062,1.0207,1.2823,1.1515,137,104,33
19-3092,0.6388,Geographers,1.4363,1.3631,0.8581,1.4431,1.1506,189,16,173
19-1011,0.7204,Animal Scientists,1.0414,0.9717,1.2449,1.0517,1.1483,59,160,-101
19-3032,0.6446,Industrial-Organizational Psychologists,1.4025,1.427,0.8856,1.4095,1.1476,182,28,154
25-1081,0.6877,"Education Teachers, Postsecondary",1.193,1.6237,1.0899,1.202,1.1459,107,125,-18
41-9021,0.6963,Real Estate Brokers,1.1497,1.348,1.1307,1.1591,1.1449,87,135,-48
17-2112,0.6983,Industrial Engineers,1.1379,0.9051,1.1402,1.1474,1.1438,81,141,-60
25-1192,0.6828,"Family and Consumer Sciences Teachers, Postsecondary",1.2117,1.4677,1.0667,1.2205,1.1436,116,121,-5
23-1022,0.6356,"Arbitrators, Mediators, and Conciliators",1.4316,1.6472,0.843,1.4384,1.1407,194,19,175
19-2011,0.6472,Astronomers,1.3737,1.0348,0.898,1.3811,1.1395,178,41,137
17-3012,0.7439,Electrical and Electronics Drafters,0.9102,0.6755,1.3563,0.9217,1.139,41,191,-150
19-3093,0.7013,Historians,1.0989,1.4907,1.1544,1.1088,1.1316,77,151,-74
43-3011,0.6643,Bill and Account Collectors,1.272,1.2702,0.979,1.2803,1.1296,155,105,50
17-2051,0.6618,Water/Wastewater Engineers,1.2829,0.9268,0.9672,1.291,1.1291,159,99,60
17-2151,0.6474,"Mining and Geological Engineers, Including Mining Safety Engineers",1.347,1.0314,0.8989,1.3545,1.1267,177,59,118
43-5032,0.6709,"Dispatchers, Except Police, Fire, and Ambulance",1.2345,1.128,1.0103,1.2431,1.1267,144,114,30
25-1193,0.6847,"Recreation and Fitness Studies Teachers, Postsecondary",1.1649,1.4293,1.0757,1.1741,1.1249,114,130,-16
13-1151,0.6762,Training and Development Specialists,1.1984,1.3229,1.0354,1.2073,1.1214,132,124,8
11-9033,0.6186,"Education Administrators, Postsecondary",1.4611,1.5449,0.7624,1.4677,1.115,219,11,208
19-2041,0.7118,Climate Change Policy Analysts,1.0141,0.8703,1.204,1.0247,1.1144,67,172,-105
43-6013,0.669,Medical Secretaries and Administrative Assistants,1.218,1.2978,1.0013,1.2267,1.114,148,119,29
17-2081,0.6426,Environmental Engineers,1.3436,1.044,0.8761,1.3512,1.1137,184,62,122
11-3131,0.6545,Training and Development Managers,1.2844,1.3368,0.9326,1.2926,1.1126,172,98,74
43-4141,0.6772,New Accounts Clerks,1.175,1.201,1.0402,1.1841,1.1122,131,128,3
43-6011,0.6961,Executive Secretaries and Executive Administrative Assistants,1.0796,1.106,1.1297,1.0897,1.1097,88,152,-64
43-3071,0.8204,Tellers,0.4728,0.4311,1.7189,0.4883,1.1036,8,257,-249
25-1052,0.6396,"Chemistry Teachers, Postsecondary",1.3339,1.4499,0.8619,1.3416,1.1018,187,72,115
19-2099,0.6791,Remote Sensing Scientists and Technologists,1.1402,0.9125,1.0492,1.1496,1.0994,125,140,-15
43-6012,0.7038,Legal Secretaries and Administrative Assistants,1.0145,1.1494,1.1662,1.0252,1.0957,72,171,-99
19-1042,0.648,"Medical Scientists, Except Epidemiologists",1.2799,1.1672,0.9017,1.2881,1.0949,176,102,74
23-1023,0.6022,"Judges, Magistrate Judges, and Magistrates",1.4965,1.6463,0.6847,1.5027,1.0937,236,6,230
11-3021,0.6928,Computer and Information Systems Managers,1.0599,0.9451,1.1141,1.0701,1.0921,93,155,-62
19-2042,0.7627,"Geoscientists, Except Hydrologists and Geographers",0.7143,0.5673,1.4454,0.7277,1.0866,26,223,-197
19-1029,0.6996,Bioinformatics Scientists,1.0102,0.8829,1.1463,1.0208,1.0836,79,174,-95
25-3011,0.6279,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1.349,1.4401,0.8065,1.3565,1.0815,208,55,153
25-1042,0.6527,"Biological Science Teachers, Postsecondary",1.2277,1.4925,0.924,1.2363,1.0802,174,115,59
11-9111,0.6427,Medical and Health Services Managers,1.2603,1.315,0.8766,1.2686,1.0726,183,108,75
43-4111,0.6347,"Interviewers, Except Eligibility and Loan",1.297,1.4486,0.8387,1.3051,1.0719,196,91,105
11-3121,0.6281,Human Resources Managers,1.3204,1.3592,0.8074,1.3282,1.0678,207,80,127
17-3013,0.7276,Mechanical Drafters,0.841,0.3818,1.279,0.8532,1.0661,54,203,-149
25-1021,0.6341,"Computer Science Teachers, Postsecondary",1.2778,1.3904,0.8359,1.286,1.0609,198,103,95
23-1011,0.6211,Lawyers,1.3288,1.454,0.7742,1.3365,1.0554,217,75,142
17-2141,0.6868,Automotive Engineers,1.0047,0.678,1.0857,1.0154,1.0505,109,175,-66
11-9161,0.6803,Emergency Management Directors,1.0308,0.901,1.0548,1.0412,1.048,121,167,-46
17-2061,0.656,Computer Hardware Engineers,1.1418,0.9769,0.9397,1.1513,1.0455,168,139,29
17-2171,0.6333,Petroleum Engineers,1.2478,1.0331,0.8321,1.2563,1.0442,199,111,88
29-1031,0.6133,Dietitians and Nutritionists,1.3428,1.3639,0.7373,1.3504,1.0438,225,63,162
43-6014,0.6619,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.0991,1.2542,0.9676,1.1089,1.0383,158,150,8
41-4011,0.7034,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.8912,0.9531,1.1643,0.9029,1.0336,73,194,-121
27-4032,0.6782,Film and Video Editors,0.9857,0.6567,1.0449,0.9966,1.0207,128,180,-52
19-3039,0.5921,Neuropsychologists,1.3899,1.3299,0.637,1.397,1.017,249,33,216
17-1011,0.6615,"Architects, Except Landscape and Naval",1.0471,0.6104,0.9657,1.0575,1.0116,160,158,2
43-9031,0.8041,Desktop Publishers,0.3438,-0.065,1.6416,0.3605,1.0011,10,273,-263
21-2021,0.6224,"Directors, Religious Activities and Education",1.2109,1.355,0.7804,1.2197,1.0001,215,122,93
43-1011,0.6578,First-Line Supervisors of Office and Administrative Support Workers,1.0387,1.1343,0.9482,1.0491,0.9986,165,162,3
13-1022,0.7031,"Wholesale and Retail Buyers, Except Farm Products",0.8188,0.7912,1.1629,0.8312,0.9971,74,210,-136
25-9021,0.6943,Farm and Home Management Educators,0.8604,0.7839,1.1212,0.8724,0.9968,91,200,-109
13-1075,0.5941,Labor Relations Specialists,1.3348,1.4314,0.6463,1.3425,0.9944,247,69,178
19-2032,0.657,Materials Scientists,1.0328,0.7858,0.9444,1.0432,0.9938,167,165,2
11-9151,0.6306,Social and Community Service Managers,1.1562,1.2252,0.8193,1.1655,0.9924,201,132,69
11-9141,0.6175,"Property, Real Estate, and Community Association Managers",1.2154,1.2146,0.7572,1.2242,0.9907,221,120,101
25-1071,0.6782,"Health Specialties Teachers, Postsecondary",0.9248,1.2256,1.0449,0.9362,0.9905,128,189,-61
17-2071,0.6351,Electrical Engineers,1.1267,0.9011,0.8406,1.1363,0.9885,195,144,51
25-1054,0.6519,"Physics Teachers, Postsecondary",1.0442,1.2402,0.9202,1.0545,0.9874,175,159,16
11-9199,0.6679,Compliance Managers,0.9647,0.91,0.996,0.9758,0.9859,149,183,-34
43-9022,0.7382,Word Processors and Typists,0.622,0.5072,1.3293,0.6362,0.9827,46,237,-191
27-1024,0.7185,Graphic Designers,0.7157,0.5274,1.2359,0.729,0.9825,61,222,-161
17-1021,0.6952,Cartographers and Photogrammetrists,0.817,0.4723,1.1255,0.8294,0.9774,90,211,-121
19-1013,0.7338,Soil and Plant Scientists,0.6321,0.6092,1.3084,0.6462,0.9773,50,235,-185
17-2111,0.657,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.9949,0.7644,0.9446,1.0057,0.9752,166,176,-10
41-9022,0.6832,Real Estate Sales Agents,0.8649,0.7013,1.0686,0.8769,0.9728,115,199,-84
17-3022,0.6673,Civil Engineering Technologists and Technicians,0.9323,0.5532,0.9932,0.9437,0.9685,150,188,-38
17-2199,0.6967,Robotics Engineers,0.7876,0.5808,1.1328,0.8003,0.9665,86,213,-127
11-2022,0.5958,Sales Managers,1.2663,1.2938,0.6543,1.2746,0.9645,245,106,139
41-4012,0.6882,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.8225,1.039,1.0923,0.8348,0.9636,103,209,-106
27-1025,0.6226,Interior Designers,1.1217,0.8219,0.7814,1.1313,0.9563,214,145,69
11-9021,0.6419,Construction Managers,1.0291,0.6362,0.8728,1.0396,0.9562,185,168,17
43-4151,0.6802,Order Clerks,0.8389,0.7611,1.0544,0.8511,0.9527,122,204,-82
25-2022,0.5855,"Middle School Teachers, Except Special and Career/Technical Education",1.2864,1.2843,0.6055,1.2946,0.95,253,96,157
25-2031,0.6051,"Secondary School Teachers, Except Special and Career/Technical Education",1.1913,1.2485,0.6984,1.2003,0.9494,231,126,105
27-1011,0.6378,Art Directors,1.0225,0.7273,0.8534,1.0331,0.9432,192,169,23
11-9032,0.6297,"Education Administrators, Kindergarten through Secondary",1.0488,1.1994,0.815,1.0591,0.9371,203,156,47
43-5061,0.7008,"Production, Planning, and Expediting Clerks",0.6999,0.6614,1.152,0.7134,0.9327,78,225,-147
13-1021,0.6855,"Buyers and Purchasing Agents, Farm Products",0.7687,0.7368,1.0795,0.7816,0.9305,112,216,-104
13-1032,0.7044,"Insurance Appraisers, Auto Damage",0.6635,0.5821,1.1691,0.6773,0.9232,70,232,-162
17-1012,0.6239,Landscape Architects,1.0344,0.8364,0.7875,1.0448,0.9162,211,164,47
11-9041,0.6644,Biofuels/Biodiesel Technology and Product Development Managers,0.837,0.6474,0.9797,0.8492,0.9145,154,206,-52
11-9071,0.6647,Gambling Managers,0.8299,0.7193,0.9809,0.8422,0.9116,153,207,-54
43-4171,0.6245,Receptionists and Information Clerks,1.0132,1.0329,0.7904,1.0238,0.9071,210,173,37
41-9091,0.6022,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.1071,1.5115,0.6847,1.1169,0.9008,236,149,87
25-1041,0.6707,"Agricultural Sciences Teachers, Postsecondary",0.7547,1.1542,1.0093,0.7677,0.8885,145,218,-73
43-9061,0.6207,"Office Clerks, General",0.9889,0.9109,0.7723,0.9997,0.886,218,177,41
19-1021,0.637,Biochemists and Biophysicists,0.9061,0.7935,0.8496,0.9177,0.8836,193,193,0
21-2011,0.5582,Clergy,1.2826,1.4701,0.4761,1.2907,0.8834,277,100,177
11-3071,0.6398,Supply Chain Managers,0.8908,0.9045,0.8631,0.9025,0.8828,186,195,-9
19-1012,0.659,Food Scientists and Technologists,0.7944,0.5725,0.9539,0.807,0.8804,164,212,-48
17-2021,0.6264,Agricultural Engineers,0.941,0.6895,0.7994,0.9523,0.8758,209,185,24
17-2131,0.6036,Materials Engineers,1.0373,0.7805,0.6913,1.0477,0.8695,233,163,70
29-1127,0.5807,Speech-Language Pathologists,1.1463,1.3433,0.5827,1.1557,0.8692,259,136,123
11-9031,0.638,"Education and Childcare Administrators, Preschool and Daycare",0.838,0.9672,0.8543,0.8502,0.8523,190,205,-15
13-1011,0.5888,"Agents and Business Managers of Artists, Performers, and Athletes",1.0686,1.2476,0.6211,1.0787,0.8499,252,153,99
13-1041,0.666,Regulatory Affairs Specialists,0.6981,0.5718,0.9871,0.7116,0.8493,152,226,-74
27-3011,0.6329,Broadcast Announcers and Radio Disc Jockeys,0.8494,1.1237,0.8302,0.8615,0.8458,200,202,-2
17-2072,0.6632,"Electronics Engineers, Except Computer",0.6655,0.4569,0.9738,0.6793,0.8265,156,231,-75
19-3091,0.6547,Anthropologists and Archeologists,0.6966,0.7388,0.9335,0.7101,0.8218,171,227,-56
21-1013,0.5133,Marriage and Family Therapists,1.3674,1.4731,0.2633,1.3748,0.8191,315,44,271
27-1021,0.6129,Commercial and Industrial Designers,0.867,0.5599,0.7354,0.879,0.8072,226,198,28
11-9131,0.6169,Postmasters and Mail Superintendents,0.8234,0.8657,0.7543,0.8357,0.795,222,208,14
25-1121,0.6295,"Art, Drama, and Music Teachers, Postsecondary",0.7583,1.0074,0.8141,0.7712,0.7926,205,217,-12
21-1014,0.5047,Mental Health Counselors,1.3424,1.5369,0.2225,1.35,0.7863,320,64,256
21-1012,0.5723,"Educational, Guidance, and Career Counselors and Advisors",0.9739,1.1964,0.5429,0.9849,0.7639,264,182,82
43-5031,0.585,Public Safety Telecommunicators,0.9074,0.7744,0.6031,0.919,0.7611,254,192,62
27-1014,0.6237,Special Effects Artists and Animators,0.7059,0.4318,0.7866,0.7193,0.7529,213,224,-11
27-2012,0.574,Producers and Directors,0.9388,0.8598,0.5508,0.9501,0.7504,262,186,76
19-2043,0.6342,Hydrologists,0.6405,0.5549,0.8363,0.6545,0.7454,197,233,-36
43-9021,0.7029,Data Entry Keyers,0.3108,0.1723,1.162,0.3279,0.7449,75,275,-200
25-1072,0.6597,"Nursing Instructors and Teachers, Postsecondary",0.5171,0.7438,0.9572,0.5322,0.7447,162,249,-87
41-2012,0.7745,Gambling Change Persons and Booth Cashiers,-0.0501,-0.1039,1.5013,-0.0297,0.7358,22,331,-309
53-2021,0.523,Air Traffic Controllers,1.1528,0.6477,0.3093,1.1622,0.7357,307,133,174
33-9021,0.6072,Private Detectives and Investigators,0.7483,0.6148,0.7084,0.7614,0.7349,229,219,10
25-2021,0.5779,"Elementary School Teachers, Except Special Education",0.8869,1.0166,0.5695,0.8987,0.7341,260,196,64
43-2011,0.554,"Switchboard Operators, Including Answering Service",0.9833,1.2444,0.4562,0.9942,0.7252,279,181,98
25-4012,0.6044,Curators,0.7367,0.6559,0.6951,0.7498,0.7225,232,220,12
53-6041,0.6729,Traffic Technicians,0.3996,0.1289,1.0198,0.4158,0.7178,140,265,-125
17-2121,0.6391,Marine Engineers and Naval Architects,0.5472,0.3434,0.8596,0.5621,0.7108,188,245,-57
25-4011,0.6067,Archivists,0.6766,0.6929,0.706,0.6903,0.6981,230,230,0
43-2021,0.5325,Telephone Operators,1.0197,1.4117,0.3543,1.0303,0.6923,298,170,128
21-1091,0.5981,Health Education Specialists,0.6917,0.9684,0.6652,0.7052,0.6852,243,229,14
11-1021,0.6219,General and Operations Managers,0.5749,0.6776,0.778,0.5895,0.6838,216,243,-27
43-3041,0.6534,Gambling Cage Workers,0.4027,0.4955,0.9273,0.4189,0.6731,173,263,-90
17-3031,0.7152,Surveying and Mapping Technicians,0.0852,-0.2902,1.2203,0.1043,0.6623,64,307,-243
29-1051,0.6025,Pharmacists,0.6059,0.5706,0.6861,0.6202,0.6531,235,241,-6
21-1023,0.4912,Mental Health and Substance Abuse Social Workers,1.1192,1.2532,0.1585,1.1289,0.6437,329,146,183
25-3021,0.6147,Self-Enrichment Teachers,0.5264,0.8248,0.7439,0.5414,0.6427,224,247,-23
19-4099,0.629,Remote Sensing Technicians,0.4501,0.1762,0.8114,0.4659,0.6387,206,261,-55
17-1022,0.6864,Geodetic Surveyors,0.1461,-0.1213,1.0838,0.1646,0.6242,111,298,-187
19-1022,0.5715,Microbiologists,0.6956,0.4742,0.5391,0.7091,0.6241,266,228,38
27-1022,0.5951,Fashion Designers,0.5802,0.5078,0.651,0.5947,0.6229,246,242,4
21-1011,0.5004,Substance Abuse and Behavioral Disorder Counselors,1.0308,1.2039,0.2021,1.0413,0.6217,325,166,159
21-1022,0.5193,Healthcare Social Workers,0.934,1.0936,0.2917,0.9453,0.6185,309,187,122
19-1023,0.6469,Zoologists and Wildlife Biologists,0.3176,0.3267,0.8965,0.3346,0.6156,179,274,-95
25-2023,0.6004,"Career/Technical Education Teachers, Middle School",0.5199,0.647,0.6761,0.5351,0.6056,241,248,-7
33-9031,0.5535,Gambling Surveillance Officers and Gambling Investigators,0.7284,0.4327,0.4538,0.7416,0.5977,280,221,59
21-1021,0.5427,"Child, Family, and School Social Workers",0.7762,0.9571,0.4026,0.789,0.5958,289,214,75
43-4071,0.6451,File Clerks,0.284,0.2403,0.888,0.3013,0.5946,181,278,-97
11-3051,0.591,Quality Control Systems Managers,0.5087,0.3543,0.6314,0.5239,0.5777,250,250,0
27-4014,0.5971,Sound Engineering Technicians,0.4715,0.3385,0.6605,0.4871,0.5738,244,258,-14
13-1121,0.6156,"Meeting, Convention, and Event Planners",0.374,0.5131,0.7482,0.3905,0.5693,223,268,-45
