O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
53-6021.00,Parking Attendants,0.387,0.3165,0.0705,0.319,0.27
27-1023.00,Floral Designers,0.3862,0.3847,0.0015,0.317,0.341
51-8091.00,Chemical Plant and System Operators,0.3856,0.3722,0.0134,0.316,0.323
53-7072.00,"Pump Operators, Except Wellhead Pumpers",0.3855,0.389,-0.0035,0.315,0.348
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,0.3853,0.2881,0.0972,0.314,0.232
29-2092.00,Hearing Aid Specialists,0.3845,0.3176,0.0669,0.313,0.271
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.3843,0.3801,0.0042,0.312,0.337
29-2057.00,Ophthalmic Medical Technicians,0.3831,0.2745,0.1086,0.311,0.212
27-1012.00,Craft Artists,0.3821,0.4117,-0.0296,0.31,0.376
51-8021.00,Stationary Engineers and Boiler Operators,0.3821,0.3676,0.0145,0.309,0.32
43-9071.00,"Office Machine Operators, Except Computer",0.3818,0.4399,-0.0581,0.308,0.402
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.381,0.3727,0.0083,0.307,0.326
29-2033.00,Nuclear Medicine Technologists,0.3792,0.3406,0.0386,0.306,0.3
43-5021.00,Couriers and Messengers,0.3784,0.3773,0.0011,0.304,0.333
29-1071.01,Anesthesiologist Assistants,0.377,0.2396,0.1374,0.303,0.17
53-1041.00,Aircraft Cargo Handling Supervisors,0.375,0.3016,0.0734,0.302,0.255
31-1131.00,Nursing Assistants,0.3745,0.3078,0.0667,0.301,0.264
27-4021.00,Photographers,0.374,0.414,-0.04,0.3,0.377
51-4041.00,Machinists,0.3734,0.348,0.0254,0.299,0.308
45-2021.00,Animal Breeders,0.3706,0.2694,0.1012,0.298,0.206
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.3701,0.295,0.0751,0.297,0.248
33-9032.00,Security Guards,0.3692,0.373,-0.0038,0.296,0.328
51-2092.00,Team Assemblers,0.3663,0.3892,-0.0229,0.295,0.349
37-2021.00,Pest Control Workers,0.3653,0.3954,-0.0301,0.294,0.356
27-1026.00,Merchandise Displayers and Window Trimmers,0.3642,0.3919,-0.0277,0.293,0.352
49-2097.00,Audiovisual Equipment Installers and Repairers,0.3614,0.3857,-0.0243,0.291,0.343
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.3603,0.3019,0.0584,0.29,0.256
31-9091.00,Dental Assistants,0.3597,0.3356,0.0241,0.289,0.29
31-2022.00,Physical Therapist Aides,0.3591,0.2977,0.0614,0.288,0.25
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0.3581,0.3149,0.0432,0.287,0.268
19-4012.00,Agricultural Technicians,0.3579,0.3783,-0.0204,0.286,0.334
29-2056.00,Veterinary Technologists and Technicians,0.3577,0.2569,0.1008,0.285,0.196
31-9099.02,Endoscopy Technicians,0.3569,0.3328,0.0241,0.284,0.286
39-5091.00,"Makeup Artists, Theatrical and Performance",0.3562,0.3881,-0.0319,0.283,0.346
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.3542,0.3611,-0.0069,0.282,0.314
49-2098.00,Security and Fire Alarm Systems Installers,0.3539,0.3577,-0.0038,0.281,0.313
47-4099.03,Weatherization Installers and Technicians,0.3529,0.3663,-0.0134,0.28,0.319
33-2011.00,Firefighters,0.3521,0.3146,0.0375,0.278,0.267
31-9093.00,Medical Equipment Preparers,0.3498,0.3761,-0.0263,0.277,0.33
39-5093.00,Shampooers,0.3476,0.3449,0.0027,0.276,0.303
35-3031.00,Waiters and Waitresses,0.3472,0.3791,-0.0319,0.275,0.335
47-5013.00,"Service Unit Operators, Oil and Gas",0.3469,0.3253,0.0216,0.274,0.277
39-3021.00,Motion Picture Projectionists,0.3466,0.3638,-0.0172,0.273,0.317
35-2012.00,"Cooks, Institution and Cafeteria",0.3418,0.3479,-0.0061,0.272,0.307
51-5112.00,Printing Press Operators,0.3405,0.3744,-0.0339,0.271,0.329
51-8099.01,Biofuels Processing Technicians,0.3402,0.3404,-0.0002,0.27,0.299
29-2055.00,Surgical Technologists,0.3394,0.2182,0.1212,0.269,0.145
51-7032.00,"Patternmakers, Wood",0.339,0.3233,0.0157,0.268,0.276
47-2111.00,Electricians,0.3388,0.3229,0.0159,0.267,0.275
49-9081.00,Wind Turbine Service Technicians,0.3381,0.2453,0.0928,0.265,0.183
53-7065.00,Stockers and Order Fillers,0.336,0.3324,0.0036,0.264,0.285
49-9031.00,Home Appliance Repairers,0.3357,0.3178,0.0179,0.263,0.272
53-5022.00,Motorboat Operators,0.3348,0.2899,0.0449,0.262,0.237
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.3346,0.2751,0.0595,0.261,0.215
39-2011.00,Animal Trainers,0.3317,0.2986,0.0331,0.26,0.251
49-9099.01,Geothermal Technicians,0.3309,0.3445,-0.0136,0.259,0.301
51-3092.00,Food Batchmakers,0.3305,0.3294,0.0011,0.258,0.282
29-9093.00,Surgical Assistants,0.3305,0.1798,0.1507,0.257,0.099
51-9011.00,Chemical Equipment Operators and Tenders,0.3302,0.3378,-0.0076,0.256,0.295
51-8013.00,Power Plant Operators,0.3289,0.3342,-0.0053,0.255,0.289
53-6031.00,Automotive and Watercraft Service Attendants,0.3288,0.2799,0.0489,0.254,0.223
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.3277,0.3305,-0.0028,0.252,0.283
53-7121.00,"Tank Car, Truck, and Ship Loaders",0.3244,0.3003,0.0241,0.251,0.254
53-7071.00,Gas Compressor and Gas Pumping Station Operators,0.3241,0.3724,-0.0483,0.25,0.324
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.3234,0.3195,0.0039,0.249,0.274
27-2031.00,Dancers,0.3216,0.2306,0.091,0.248,0.164
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,0.3166,0.3063,0.0103,0.247,0.262
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0.3166,0.3278,-0.0112,0.246,0.281
51-4061.00,"Model Makers, Metal and Plastic",0.3161,0.3448,-0.0287,0.245,0.302
49-9097.00,Signal and Track Switch Repairers,0.3155,0.2412,0.0743,0.244,0.172
51-9141.00,Semiconductor Processing Technicians,0.3139,0.3362,-0.0223,0.243,0.293
49-3011.00,Aircraft Mechanics and Service Technicians,0.3129,0.2833,0.0296,0.242,0.229
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.3124,0.277,0.0354,0.241,0.217
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.3115,0.2887,0.0228,0.239,0.233
51-8013.03,Biomass Plant Technicians,0.3113,0.3183,-0.007,0.238,0.273
51-8031.00,Water and Wastewater Treatment Plant and System Operators,0.3099,0.2963,0.0136,0.237,0.249
53-7081.00,Refuse and Recyclable Material Collectors,0.3087,0.3078,0.0009,0.236,0.264
35-2013.00,"Cooks, Private Household",0.3086,0.3486,-0.04,0.235,0.31
53-7021.00,Crane and Tower Operators,0.3082,0.2746,0.0336,0.234,0.213
33-3011.00,Bailiffs,0.3062,0.3357,-0.0295,0.233,0.291
29-1024.00,Prosthodontists,0.3061,0.1979,0.1082,0.232,0.127
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.3057,0.2821,0.0236,0.231,0.226
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",0.3048,0.2937,0.0111,0.23,0.244
45-2041.00,"Graders and Sorters, Agricultural Products",0.3047,0.219,0.0857,0.229,0.147
39-5094.00,Skincare Specialists,0.3041,0.3063,-0.0022,0.228,0.262
51-3011.00,Bakers,0.3035,0.3053,-0.0018,0.226,0.26
49-2091.00,Avionics Technicians,0.3034,0.3158,-0.0124,0.225,0.269
51-2022.00,Electrical and Electronic Equipment Assemblers,0.3004,0.3033,-0.0029,0.224,0.258
39-5011.00,Barbers,0.3003,0.3332,-0.0329,0.223,0.287
51-4111.00,Tool and Die Makers,0.2993,0.2699,0.0294,0.222,0.207
47-4021.00,Elevator and Escalator Installers and Repairers,0.298,0.2914,0.0066,0.221,0.241
53-7011.00,Conveyor Operators and Tenders,0.297,0.2796,0.0174,0.22,0.22
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,0.2955,0.2681,0.0274,0.219,0.205
51-6092.00,Fabric and Apparel Patternmakers,0.2946,0.289,0.0056,0.218,0.234
51-4062.00,"Patternmakers, Metal and Plastic",0.2945,0.2624,0.0321,0.217,0.2
29-2011.04,Histotechnologists,0.2941,0.2833,0.0108,0.216,0.229
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.2924,0.3022,-0.0098,0.215,0.257
49-9064.00,Watch and Clock Repairers,0.2922,0.2777,0.0145,0.213,0.218
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.2909,0.2526,0.0383,0.212,0.19
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.2905,0.1602,0.1303,0.211,0.074
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.2903,0.2947,-0.0044,0.21,0.246
49-9092.00,Commercial Divers,0.2879,0.2295,0.0584,0.209,0.159
51-8013.04,Hydroelectric Plant Technicians,0.2878,0.2799,0.0079,0.208,0.223
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.2869,0.2722,0.0147,0.207,0.208
35-3011.00,Bartenders,0.2867,0.3381,-0.0514,0.206,0.296
39-6011.00,Baggage Porters and Bellhops,0.2865,0.2796,0.0069,0.205,0.22
49-9061.00,Camera and Photographic Equipment Repairers,0.2855,0.2946,-0.0091,0.204,0.245
51-9191.00,Adhesive Bonding Machine Operators and Tenders,0.2854,0.2896,-0.0042,0.203,0.236
39-4012.00,Crematory Operators,0.2818,0.2819,-0.0001,0.202,0.225
39-4021.00,Funeral Attendants,0.2808,0.2735,0.0073,0.2,0.211
35-3023.01,Baristas,0.2801,0.3083,-0.0282,0.199,0.265
51-2021.00,"Coil Winders, Tapers, and Finishers",0.28,0.3363,-0.0563,0.198,0.294
35-3041.00,"Food Servers, Nonrestaurant",0.2792,0.2891,-0.0099,0.197,0.235
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0.2788,0.2388,0.04,0.196,0.168
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.277,0.2436,0.0334,0.195,0.177
49-3092.00,Recreational Vehicle Service Technicians,0.277,0.2241,0.0529,0.194,0.154
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,0.2769,0.2431,0.0338,0.193,0.176
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.2767,0.2849,-0.0082,0.192,0.231
49-3051.00,Motorboat Mechanics and Service Technicians,0.2754,0.2236,0.0518,0.191,0.153
49-3023.00,Automotive Service Technicians and Mechanics,0.2724,0.2296,0.0428,0.19,0.16
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.2718,0.1851,0.0867,0.189,0.107
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.2712,0.2612,0.01,0.187,0.198
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.2694,0.2913,-0.0219,0.186,0.239
47-5023.00,"Earth Drillers, Except Oil and Gas",0.2693,0.2757,-0.0064,0.185,0.216
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",0.2692,0.2561,0.0131,0.184,0.194
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",0.2682,0.2386,0.0296,0.183,0.167
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.268,0.2302,0.0378,0.182,0.161
47-2132.00,"Insulation Workers, Mechanical",0.2661,0.2917,-0.0256,0.181,0.242
45-4022.00,Logging Equipment Operators,0.2657,0.2388,0.0269,0.18,0.168
49-9071.00,"Maintenance and Repair Workers, General",0.2654,0.2586,0.0068,0.179,0.197
49-9043.00,"Maintenance Workers, Machinery",0.2652,0.2726,-0.0074,0.178,0.209
27-4015.00,Lighting Technicians,0.2621,0.2734,-0.0113,0.177,0.21
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.2618,0.254,0.0078,0.176,0.191
51-9071.00,Jewelers and Precious Stone and Metal Workers,0.2611,0.2671,-0.006,0.174,0.204
51-3021.00,Butchers and Meat Cutters,0.258,0.2554,0.0026,0.173,0.192
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.2572,0.2661,-0.0089,0.172,0.202
53-7073.00,Wellhead Pumpers,0.2563,0.2208,0.0355,0.171,0.148
53-5011.00,Sailors and Marine Oilers,0.2554,0.218,0.0374,0.17,0.144
49-3041.00,Farm Equipment Mechanics and Service Technicians,0.2532,0.2422,0.011,0.169,0.174
51-3093.00,Food Cooking Machine Operators and Tenders,0.2502,0.2663,-0.0161,0.168,0.203
47-2073.00,Operating Engineers and Other Construction Equipment Operators,0.2502,0.2485,0.0017,0.167,0.186
45-4011.00,Forest and Conservation Workers,0.2485,0.2461,0.0024,0.166,0.184
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.2483,0.2791,-0.0308,0.165,0.219
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.2472,0.2441,0.0031,0.164,0.179
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.2468,0.2616,-0.0148,0.163,0.199
47-5041.00,Continuous Mining Machine Operators,0.2467,0.2137,0.033,0.161,0.141
51-9022.00,"Grinding and Polishing Workers, Hand",0.2466,0.222,0.0246,0.16,0.152
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,0.2463,0.1804,0.0659,0.159,0.1
31-9097.00,Phlebotomists,0.2462,0.2486,-0.0024,0.158,0.187
35-3023.00,Fast Food and Counter Workers,0.2459,0.2819,-0.036,0.157,0.225
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.2439,0.2282,0.0157,0.156,0.156
51-4051.00,Metal-Refining Furnace Operators and Tenders,0.2429,0.2467,-0.0038,0.155,0.185
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.2422,0.2568,-0.0146,0.154,0.195
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.2422,0.245,-0.0028,0.153,0.181
47-5012.00,"Rotary Drill Operators, Oil and Gas",0.2421,0.2188,0.0233,0.152,0.146
51-2061.00,Timing Device Assemblers and Adjusters,0.2407,0.1866,0.0541,0.151,0.109
45-4021.00,Fallers,0.2405,0.211,0.0295,0.15,0.139
47-2211.00,Sheet Metal Workers,0.2401,0.2441,-0.004,0.148,0.179
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.2373,0.2439,-0.0066,0.147,0.178
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",0.2367,0.2452,-0.0085,0.146,0.182
53-7064.00,"Packers and Packagers, Hand",0.236,0.2039,0.0321,0.145,0.133
51-7031.00,"Model Makers, Wood",0.2358,0.2148,0.021,0.144,0.142
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",0.2346,0.231,0.0036,0.143,0.165
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0.2337,0.2412,-0.0075,0.142,0.172
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",0.2335,0.2287,0.0048,0.141,0.157
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.2329,0.2031,0.0298,0.14,0.131
51-4192.00,"Layout Workers, Metal and Plastic",0.2325,0.2383,-0.0058,0.139,0.166
35-2014.00,"Cooks, Restaurant",0.2324,0.2288,0.0036,0.138,0.158
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.231,0.2257,0.0053,0.137,0.155
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,0.2306,0.2555,-0.0249,0.135,0.193
49-3043.00,Rail Car Repairers,0.229,0.1797,0.0493,0.134,0.098
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",0.2289,0.2048,0.0241,0.133,0.134
51-9194.00,Etchers and Engravers,0.2271,0.2304,-0.0033,0.132,0.163
51-5113.00,Print Binding and Finishing Workers,0.2253,0.2419,-0.0166,0.131,0.173
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.2249,0.1995,0.0254,0.13,0.128
47-5011.00,"Derrick Operators, Oil and Gas",0.2224,0.1958,0.0266,0.129,0.123
53-7041.00,Hoist and Winch Operators,0.2192,0.1829,0.0363,0.128,0.103
51-6093.00,Upholsterers,0.2178,0.2001,0.0177,0.127,0.129
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",0.2176,0.1815,0.0361,0.126,0.102
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.2175,0.2093,0.0082,0.125,0.138
51-6011.00,Laundry and Dry-Cleaning Workers,0.2171,0.1749,0.0422,0.124,0.092
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.2155,0.2049,0.0106,0.122,0.135
53-7031.00,Dredge Operators,0.2149,0.2072,0.0077,0.121,0.137
51-7011.00,Cabinetmakers and Bench Carpenters,0.2144,0.2037,0.0107,0.12,0.132
51-4194.00,"Tool Grinders, Filers, and Sharpeners",0.213,0.2114,0.0016,0.119,0.14
53-7063.00,Machine Feeders and Offbearers,0.2112,0.1946,0.0166,0.118,0.121
51-2023.00,Electromechanical Equipment Assemblers,0.2089,0.1882,0.0207,0.117,0.113
47-5081.00,Helpers--Extraction Workers,0.2036,0.1876,0.016,0.116,0.112
51-9081.00,Dental Laboratory Technicians,0.1991,0.1971,0.002,0.115,0.126
51-2031.00,Engine and Other Machine Assemblers,0.1982,0.1708,0.0274,0.114,0.086
47-2031.00,Carpenters,0.1973,0.2168,-0.0195,0.113,0.143
51-9198.00,Helpers--Production Workers,0.197,0.1757,0.0213,0.112,0.093
53-7062.04,Recycling and Reclamation Workers,0.1966,0.1325,0.0641,0.111,0.048
51-9123.00,"Painting, Coating, and Decorating Workers",0.1963,0.2209,-0.0246,0.109,0.15
51-9111.00,Packaging and Filling Machine Operators and Tenders,0.1957,0.1685,0.0272,0.108,0.08
27-2021.00,Athletes and Sports Competitors,0.195,0.1719,0.0231,0.107,0.089
53-6032.00,Aircraft Service Attendants,0.1944,0.1611,0.0333,0.106,0.075
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",0.1943,0.1906,0.0037,0.105,0.116
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.1939,0.1711,0.0228,0.104,0.087
51-4121.00,"Welders, Cutters, Solderers, and Brazers",0.1929,0.1923,0.0006,0.103,0.117
49-9011.00,Mechanical Door Repairers,0.1913,0.2216,-0.0303,0.102,0.151
49-3052.00,Motorcycle Mechanics,0.1911,0.1408,0.0503,0.101,0.054
49-3091.00,Bicycle Repairers,0.1903,0.2004,-0.0101,0.1,0.13
51-9082.00,Medical Appliance Technicians,0.1902,0.1654,0.0248,0.099,0.079
51-9195.05,"Potters, Manufacturing",0.1896,0.174,0.0156,0.098,0.091
49-9095.00,Manufactured Building and Mobile Home Installers,0.1896,0.1869,0.0027,0.096,0.111
47-2011.00,Boilermakers,0.1895,0.1714,0.0181,0.095,0.088
51-7021.00,Furniture Finishers,0.1893,0.1902,-0.0009,0.094,0.115
51-9083.00,Ophthalmic Laboratory Technicians,0.1883,0.1892,-0.0009,0.093,0.114
51-9031.00,"Cutters and Trimmers, Hand",0.1872,0.1422,0.045,0.092,0.055
47-2021.00,Brickmasons and Blockmasons,0.1872,0.1967,-0.0095,0.091,0.125
39-5092.00,Manicurists and Pedicurists,0.1833,0.1958,-0.0125,0.09,0.123
51-9195.03,"Stone Cutters and Carvers, Manufacturing",0.1801,0.1854,-0.0053,0.089,0.108
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.1757,0.176,-0.0003,0.088,0.094
37-2012.00,Maids and Housekeeping Cleaners,0.1752,0.1931,-0.0179,0.087,0.119
47-2152.04,Solar Thermal Installers and Technicians,0.174,0.1693,0.0047,0.086,0.082
31-1132.00,Orderlies,0.173,0.1221,0.0509,0.085,0.041
45-3031.00,Fishing and Hunting Workers,0.1727,0.1589,0.0138,0.083,0.07
49-9052.00,Telecommunications Line Installers and Repairers,0.1721,0.1694,0.0027,0.082,0.083
49-3022.00,Automotive Glass Installers and Repairers,0.1721,0.1077,0.0644,0.081,0.024
39-4011.00,Embalmers,0.1718,0.1838,-0.012,0.08,0.104
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",0.1703,0.1686,0.0017,0.079,0.081
51-6042.00,Shoe Machine Operators and Tenders,0.1692,0.1842,-0.015,0.078,0.105
49-9096.00,Riggers,0.1691,0.1733,-0.0042,0.077,0.09
49-3093.00,Tire Repairers and Changers,0.168,0.1079,0.0601,0.076,0.025
47-2041.00,Carpet Installers,0.1675,0.1796,-0.0121,0.075,0.096
47-2072.00,Pile Driver Operators,0.1625,0.1104,0.0521,0.074,0.029
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",0.1618,0.1553,0.0065,0.073,0.069
45-2091.00,Agricultural Equipment Operators,0.161,0.1367,0.0243,0.072,0.052
51-6051.00,"Sewers, Hand",0.1607,0.1619,-0.0012,0.07,0.076
35-2015.00,"Cooks, Short Order",0.1605,0.1775,-0.017,0.069,0.095
51-6031.00,Sewing Machine Operators,0.1603,0.1621,-0.0018,0.068,0.077
35-2011.00,"Cooks, Fast Food",0.1583,0.1696,-0.0113,0.067,0.085
47-2044.00,Tile and Stone Setters,0.1562,0.1851,-0.0289,0.066,0.107
49-9051.00,Electrical Power-Line Installers and Repairers,0.1557,0.1426,0.0131,0.065,0.059
37-3013.00,Tree Trimmers and Pruners,0.1548,0.164,-0.0092,0.064,0.078
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.1547,0.1427,0.012,0.063,0.06
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.1511,0.1601,-0.009,0.062,0.073
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.1496,0.1548,-0.0052,0.061,0.068
53-7061.00,Cleaners of Vehicles and Equipment,0.1477,0.1476,0.0001,0.06,0.063
51-2041.00,Structural Metal Fabricators and Fitters,0.1459,0.1493,-0.0034,0.059,0.064
47-2121.00,Glaziers,0.1447,0.1533,-0.0086,0.057,0.067
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",0.1422,0.1593,-0.0171,0.056,0.072
47-2171.00,Reinforcing Iron and Rebar Workers,0.1398,0.1924,-0.0526,0.055,0.118
47-2141.00,"Painters, Construction and Maintenance",0.1389,0.1813,-0.0424,0.054,0.101
47-5051.00,"Rock Splitters, Quarry",0.1374,0.1146,0.0228,0.053,0.033
47-2061.00,Construction Laborers,0.1374,0.1496,-0.0122,0.052,0.066
53-7051.00,Industrial Truck and Tractor Operators,0.1358,0.0924,0.0434,0.051,0.015
49-3021.00,Automotive Body and Related Repairers,0.1339,0.1493,-0.0154,0.05,0.064
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.1331,0.1398,-0.0067,0.049,0.053
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0.133,0.1456,-0.0126,0.048,0.062
35-2021.00,Food Preparation Workers,0.1327,0.1437,-0.011,0.047,0.061
49-9063.00,Musical Instrument Repairers and Tuners,0.1326,0.1247,0.0079,0.046,0.046
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,0.1315,0.097,0.0345,0.044,0.018
51-6021.00,"Pressers, Textile, Garment, and Related Materials",0.1309,0.1334,-0.0025,0.043,0.049
51-2051.00,Fiberglass Laminators and Fabricators,0.1303,0.1202,0.0101,0.042,0.039
47-2151.00,Pipelayers,0.1302,0.1199,0.0103,0.041,0.038
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",0.1301,0.0883,0.0418,0.04,0.014
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",0.1291,0.1146,0.0145,0.039,0.033
51-6041.00,Shoe and Leather Workers and Repairers,0.1255,0.1425,-0.017,0.038,0.057
47-5043.00,"Roof Bolters, Mining",0.1247,0.1094,0.0153,0.037,0.027
49-9044.00,Millwrights,0.1232,0.1242,-0.001,0.036,0.043
37-3011.00,Landscaping and Groundskeeping Workers,0.1212,0.1341,-0.0129,0.035,0.05
47-4031.00,Fence Erectors,0.1199,0.1423,-0.0224,0.034,0.056
47-3013.00,Helpers--Electricians,0.1192,0.1034,0.0158,0.033,0.021
51-4052.00,"Pourers and Casters, Metal",0.1188,0.1105,0.0083,0.031,0.03
47-2221.00,Structural Iron and Steel Workers,0.1181,0.1299,-0.0118,0.03,0.047
47-4041.00,Hazardous Materials Removal Workers,0.1128,0.1243,-0.0115,0.029,0.044
49-9094.00,Locksmiths and Safe Repairers,0.1116,0.1163,-0.0047,0.028,0.035
47-2081.00,Drywall and Ceiling Tile Installers,0.1112,0.1215,-0.0103,0.027,0.04
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.1099,0.1177,-0.0078,0.026,0.037
47-2142.00,Paperhangers,0.104,0.1171,-0.0131,0.025,0.036
47-2051.00,Cement Masons and Concrete Finishers,0.1034,0.1059,-0.0025,0.024,0.023
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",0.1033,0.1229,-0.0196,0.023,0.042
47-4091.00,Segmental Pavers,0.1031,0.1351,-0.032,0.022,0.051
47-4051.00,Highway Maintenance Workers,0.0989,0.0971,0.0018,0.021,0.02
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0939,0.1058,-0.0119,0.02,0.022
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",0.0928,0.0656,0.0272,0.018,0.007
47-2082.00,Tapers,0.0917,0.1114,-0.0197,0.017,0.031
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0879,0.0925,-0.0046,0.016,0.016
47-3016.00,Helpers--Roofers,0.0876,0.0841,0.0035,0.015,0.012
47-2043.00,Floor Sanders and Finishers,0.0831,0.0872,-0.0041,0.014,0.013
29-2012.01,Histology Technicians,0.0825,0.1099,-0.0274,0.013,0.028
47-2161.00,Plasterers and Stucco Masons,0.0804,0.1086,-0.0282,0.012,0.026
47-5071.00,"Roustabouts, Oil and Gas",0.077,0.0671,0.0099,0.011,0.008
47-2053.00,Terrazzo Workers and Finishers,0.0747,0.0946,-0.0199,0.01,0.017
51-9197.00,Tire Builders,0.0694,0.0741,-0.0047,0.009,0.009
47-2181.00,Roofers,0.0666,0.0827,-0.0161,0.008,0.011
47-3012.00,Helpers--Carpenters,0.0644,0.0824,-0.018,0.007,0.01
51-4071.00,Foundry Mold and Coremakers,0.0524,0.0611,-0.0087,0.005,0.005
47-2022.00,Stonemasons,0.0291,0.0512,-0.0221,0.004,0.003
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.0261,0.0523,-0.0262,0.003,0.004
35-9021.00,Dishwashers,0.025,0.05,-0.025,0.002,0.002
51-3023.00,Slaughterers and Meat Packers,0.025,0.05,-0.025,0.001,0.002
