O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
11-2011.00,Advertising and Promotions Managers,0.6356,0.6819,-0.0463,0.818,0.802
19-3022.00,Survey Researchers,0.6355,0.7127,-0.0772,0.817,0.875
43-6013.00,Medical Secretaries and Administrative Assistants,0.6355,0.669,-0.0335,0.816,0.755
11-3021.00,Computer and Information Systems Managers,0.6352,0.6928,-0.0576,0.815,0.831
11-9179.02,Spa Managers,0.635,0.6709,-0.0359,0.814,0.76
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",0.6349,0.6847,-0.0498,0.813,0.808
17-2199.10,Wind Energy Engineers,0.6349,0.7017,-0.0668,0.811,0.853
13-1071.00,Human Resources Specialists,0.6346,0.6787,-0.0441,0.81,0.788
11-3031.01,Treasurers and Controllers,0.6337,0.6806,-0.0469,0.809,0.797
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.6335,0.6731,-0.0396,0.808,0.77
25-1011.00,"Business Teachers, Postsecondary",0.6332,0.6783,-0.0451,0.807,0.787
13-2022.00,Appraisers of Personal and Business Property,0.6329,0.6756,-0.0427,0.806,0.777
41-9022.00,Real Estate Sales Agents,0.6326,0.6832,-0.0506,0.805,0.806
19-2041.00,"Environmental Scientists and Specialists, Including Health",0.6325,0.6945,-0.062,0.804,0.836
11-9199.01,Regulatory Affairs Managers,0.6321,0.6905,-0.0584,0.803,0.827
25-1032.00,"Engineering Teachers, Postsecondary",0.6317,0.681,-0.0493,0.802,0.799
15-1299.09,Information Technology Project Managers,0.6314,0.6599,-0.0285,0.801,0.738
25-1071.00,"Health Specialties Teachers, Postsecondary",0.6312,0.6782,-0.047,0.8,0.785
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",0.631,0.6794,-0.0484,0.798,0.791
29-9092.00,Genetic Counselors,0.6306,0.6595,-0.0289,0.797,0.736
43-3011.00,Bill and Account Collectors,0.6303,0.6643,-0.034,0.796,0.75
25-1064.00,"Geography Teachers, Postsecondary",0.6302,0.6773,-0.0471,0.795,0.782
17-2199.07,Photonics Engineers,0.63,0.6842,-0.0542,0.794,0.807
19-4012.01,Precision Agriculture Technicians,0.6298,0.7024,-0.0726,0.793,0.855
29-9021.00,Health Information Technologists and Medical Registrars,0.6297,0.7135,-0.0838,0.792,0.878
