soc6,title,original,AIOE,narrow,broad
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.638,0.838,0.638,0.638
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.5888,1.0686,0.5888,0.5888
13-1041,Regulatory Affairs Specialists,0.666,0.6981,0.6639,0.6639
27-3011,Broadcast Announcers and Radio Disc Jockeys,0.6329,0.8494,0.6329,0.6119
17-2072,"Electronics Engineers, Except Computer",0.6632,0.6655,0.6587,0.6587
19-3091,Anthropologists and Archeologists,0.6547,0.6966,0.6395,0.6395
21-1013,Marriage and Family Therapists,0.5133,1.3674,0.5133,0.5133
27-1021,Commercial and Industrial Designers,0.6129,0.867,0.6105,0.6105
11-9131,Postmasters and Mail Superintendents,0.6169,0.8234,0.6169,0.6169
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.6295,0.7583,0.6281,0.6281
21-1014,Mental Health Counselors,0.5047,1.3424,0.5047,0.5047
21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.5723,0.9739,0.5723,0.5723
43-5031,Public Safety Telecommunicators,0.585,0.9074,0.5592,0.5047
27-1014,Special Effects Artists and Animators,0.6237,0.7059,0.6188,0.6188
27-2012,Producers and Directors,0.574,0.9388,0.5726,0.5514
19-2043,Hydrologists,0.6342,0.6405,0.6228,0.6228
43-9021,Data Entry Keyers,0.7029,0.3108,0.6965,0.6651
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.6597,0.5171,0.6597,0.6597
41-2012,Gambling Change Persons and Booth Cashiers,0.7745,-0.0501,0.7721,0.7721
53-2021,Air Traffic Controllers,0.523,1.1528,0.4952,0.4806
33-9021,Private Detectives and Investigators,0.6072,0.7483,0.6072,0.6072
25-2021,"Elementary School Teachers, Except Special Education",0.5779,0.8869,0.5738,0.5738
43-2011,"Switchboard Operators, Including Answering Service",0.554,0.9833,0.5477,0.4428
25-4012,Curators,0.6044,0.7367,0.5693,0.5693
53-6041,Traffic Technicians,0.6729,0.3996,0.663,0.663
17-2121,Marine Engineers and Naval Architects,0.6391,0.5472,0.6391,0.6391
25-4011,Archivists,0.6067,0.6766,0.5987,0.5987
43-2021,Telephone Operators,0.5325,1.0197,0.5325,0.3747
21-1091,Health Education Specialists,0.5981,0.6917,0.5981,0.5981
11-1021,General and Operations Managers,0.6219,0.5749,0.6219,0.6219
43-3041,Gambling Cage Workers,0.6534,0.4027,0.6282,0.6282
17-3031,Surveying and Mapping Technicians,0.7152,0.0852,0.7152,0.7152
29-1051,Pharmacists,0.6025,0.6059,0.5947,0.5947
21-1023,Mental Health and Substance Abuse Social Workers,0.4912,1.1192,0.4912,0.4912
25-3021,Self-Enrichment Teachers,0.6147,0.5264,0.6126,0.6126
19-4099,Remote Sensing Technicians,0.629,0.4501,0.6148,0.6148
17-1022,Geodetic Surveyors,0.6864,0.1461,0.6839,0.6839
19-1022,Microbiologists,0.5715,0.6956,0.5616,0.5453
27-1022,Fashion Designers,0.5951,0.5802,0.5921,0.5921
21-1011,Substance Abuse and Behavioral Disorder Counselors,0.5004,1.0308,0.5004,0.5004
21-1022,Healthcare Social Workers,0.5193,0.934,0.5193,0.5193
19-1023,Zoologists and Wildlife Biologists,0.6469,0.3176,0.6339,0.6339
25-2023,"Career/Technical Education Teachers, Middle School",0.6004,0.5199,0.5986,0.5986
33-9031,Gambling Surveillance Officers and Gambling Investigators,0.5535,0.7284,0.5535,0.4165
21-1021,"Child, Family, and School Social Workers",0.5427,0.7762,0.5427,0.5427
43-4071,File Clerks,0.6451,0.284,0.6386,0.5842
11-3051,Quality Control Systems Managers,0.591,0.5087,0.5872,0.5738
27-4014,Sound Engineering Technicians,0.5971,0.4715,0.5942,0.4433
13-1121,"Meeting, Convention, and Event Planners",0.6156,0.374,0.6156,0.6156
47-4011,Energy Auditors,0.6296,0.286,0.6296,0.6296
17-3026,Industrial Engineering Technologists and Technicians,0.5609,0.6107,0.5456,0.5314
25-2032,"Career/Technical Education Teachers, Secondary School",0.6008,0.3735,0.599,0.599
41-2021,Counter and Rental Clerks,0.6621,0.0784,0.6568,0.6568
27-2041,Music Directors and Composers,0.4894,0.883,0.4894,0.4817
29-1181,Audiologists,0.5376,0.6329,0.5324,0.5219
11-9081,Lodging Managers,0.5832,0.4022,0.5791,0.5791
21-1015,Rehabilitation Counselors,0.5591,0.5025,0.5591,0.5591
19-1031,Conservation Scientists,0.6463,0.069,0.6405,0.6405
17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.5845,0.3515,0.5641,0.5641
25-1194,"Career/Technical Education Teachers, Postsecondary",0.618,0.1622,0.618,0.618
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.5177,0.6063,0.512,0.4908
21-1092,Probation Officers and Correctional Treatment Specialists,0.5312,0.5272,0.5312,0.5312
19-2031,Chemists,0.5356,0.5011,0.5277,0.5277
39-3012,Gambling and Sports Book Writers and Runners,0.5393,0.4653,0.5378,0.5378
19-4092,Forensic Science Technicians,0.5814,0.2401,0.5774,0.5691
51-8011,Nuclear Power Reactor Operators,0.4692,0.7705,0.4671,0.4016
25-2012,"Kindergarten Teachers, Except Special Education",0.5507,0.3644,0.5466,0.5466
25-2051,"Special Education Teachers, Preschool",0.5452,0.3751,0.541,0.541
41-2011,Cashiers,0.6731,-0.2481,0.667,0.667
41-2031,Retail Salespersons,0.6026,0.0873,0.589,0.589
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.5719,0.2273,0.5449,0.5449
25-4031,Library Technicians,0.608,0.038,0.603,0.5963
11-9051,Food Service Managers,0.6379,-0.1213,0.6379,0.6379
41-1011,First-Line Supervisors of Retail Sales Workers,0.6006,0.0192,0.5722,0.5722
41-9011,Demonstrators and Product Promoters,0.5743,0.1236,0.5577,0.5577
45-2011,Agricultural Inspectors,0.5636,0.1705,0.5486,0.5486
33-3021,Intelligence Analysts,0.5504,0.2258,0.5416,0.5327
53-2022,Airfield Operations Specialists,0.4887,0.4846,0.4714,0.4665
39-7012,Travel Guides,0.4618,0.6084,0.4366,0.4306
17-3027,Mechanical Engineering Technologists and Technicians,0.61,-0.1192,0.6033,0.5984
51-8012,Power Distributors and Dispatchers,0.4771,0.5012,0.4371,0.3606
17-3025,Environmental Engineering Technologists and Technicians,0.5703,0.0438,0.5296,0.5296
19-4021,Biological Technicians,0.5138,0.3012,0.4925,0.4925
39-7011,Tour Guides and Escorts,0.5013,0.3571,0.4972,0.4938
39-6012,Concierges,0.3959,0.8558,0.3887,0.3887
21-1093,Social and Human Service Assistants,0.4752,0.4652,0.4738,0.4738
29-2052,Pharmacy Technicians,0.5678,0.007,0.535,0.535
41-2022,Parts Salespersons,0.5923,-0.1185,0.5818,0.5818
51-1011,First-Line Supervisors of Production and Operating Workers,0.5843,-0.0845,0.571,0.571
19-1032,Foresters,0.6006,-0.1844,0.5987,0.5987
29-1122,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.5344,0.1152,0.5214,0.5214
27-4012,Broadcast Technicians,0.5304,0.1222,0.5304,0.3459
29-1171,Nurse Practitioners,0.515,0.1901,0.515,0.4945
17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.4662,0.3909,0.4414,0.4414
29-1125,Recreational Therapists,0.5017,0.219,0.5017,0.5017
39-9041,Residential Advisors,0.4462,0.4746,0.4338,0.4338
33-9099,Retail Loss Prevention Specialists,0.5292,0.0764,0.5216,0.5216
29-1141,Clinical Nurse Specialists,0.4967,0.2294,0.4917,0.4906
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.5487,-0.0205,0.5454,0.5454
27-2022,Coaches and Scouts,0.5166,0.1169,0.5166,0.5166
33-2021,Fire Inspectors and Investigators,0.5267,0.0628,0.5267,0.5267
29-2051,Dietetic Technicians,0.5592,-0.126,0.5592,0.5592
27-4011,Audio and Video Technicians,0.5341,-0.0118,0.5313,0.4577
27-1027,Set and Exhibit Designers,0.5365,-0.0519,0.5111,0.5111
43-4121,"Library Assistants, Clerical",0.4813,0.2039,0.4531,0.4464
29-1161,Nurse Midwives,0.4783,0.1966,0.4783,0.4783
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.573,-0.2575,0.5687,0.5687
29-1081,Podiatrists,0.3805,0.6279,0.3726,0.3726
33-1012,First-Line Supervisors of Police and Detectives,0.5516,-0.1923,0.5439,0.5439
31-9095,Pharmacy Aides,0.5426,-0.1553,0.5263,0.5263
19-4031,Chemical Technicians,0.4952,0.0628,0.4309,0.4236
21-1094,Community Health Workers,0.5005,0.0371,0.4997,0.4997
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.5171,-0.0565,0.4892,0.4892
27-2023,"Umpires, Referees, and Other Sports Officials",0.5119,-0.0326,0.5119,0.5119
29-1011,Chiropractors,0.5449,-0.1912,0.5449,0.5449
35-1011,Chefs and Head Cooks,0.5573,-0.2676,0.5549,0.5549
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.5307,-0.1444,0.5282,0.5282
25-2011,"Preschool Teachers, Except Special Education",0.4938,0.0306,0.4872,0.4872
39-9032,Recreation Workers,0.5499,-0.2441,0.5296,0.5296
