O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
13-1111.00,Management Analysts,0.7532,0.7532,0.0,0.0,0.7532,0.0,0.0,13-1111
19-4061.00,Social Science Research Assistants,0.753,0.753,0.0,0.0,0.753,0.0,0.0,19-4061
15-2031.00,Operations Research Analysts,0.7524,0.7165,0.04946928919616542,-0.03589999999999993,0.7165,0.04946928919616542,-0.03589999999999993,15-2031
17-3011.00,Architectural and Civil Drafters,0.7521,0.7221,0.037557960871060315,-0.030000000000000027,0.7221,0.037557960871060315,-0.030000000000000027,17-3011
19-2041.01,Climate Change Policy Analysts,0.7512,0.7512,0.0,0.0,0.7512,0.0,0.0,19-2041
13-2051.00,Financial and Investment Analysts,0.751,0.751,0.0,0.0,0.751,0.0,0.0,13-2051
43-4031.00,"Court, Municipal, and License Clerks",0.751,0.751,0.0,0.0,0.751,0.0,0.0,43-4031
43-4011.00,Brokerage Clerks,0.7504,0.6316,0.13198369023203957,-0.1187999999999999,0.6316,0.13198369023203957,-0.1187999999999999,43-4011
15-1299.07,Blockchain Engineers,0.75,0.7,0.058823529411764705,-0.050000000000000044,0.7,0.058823529411764705,-0.050000000000000044,15-1299
43-4051.00,Customer Service Representatives,0.7483,0.7483,0.0,0.0,0.7483,0.0,0.0,43-4051
23-1012.00,Judicial Law Clerks,0.7459,0.7459,0.0,0.0,0.7459,0.0,0.0,23-1012
17-2199.08,Robotics Engineers,0.7448,0.7167,0.07368929595081966,-0.028100000000000014,0.7167,0.07368929595081966,-0.028100000000000014,17-2199
51-9162.00,Computer Numerically Controlled Tool Programmers,0.7446,0.6358,0.16797236653192948,-0.10880000000000001,0.6322,0.18824989183536853,-0.11240000000000006,51-9162
17-3012.00,Electrical and Electronics Drafters,0.7439,0.6571,0.11326098701096288,-0.08679999999999999,0.6571,0.11326098701096288,-0.08679999999999999,17-3012
43-4061.00,"Eligibility Interviewers, Government Programs",0.7432,0.7432,0.0,0.0,0.7432,0.0,0.0,43-4061
17-2112.00,Industrial Engineers,0.7406,0.6629,0.10503094845508527,-0.07769999999999999,0.6629,0.10503094845508527,-0.07769999999999999,17-2112
13-2053.00,Insurance Underwriters,0.7404,0.6587,0.13620652830415553,-0.0817,0.6587,0.13620652830415553,-0.0817,13-2053
