O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
45-2021.00,Animal Breeders,0.2694,21,0.1615,0.7003,0.0,0.572,0.0,0.1615,0.0,0.0,0.2027,0.0639,0.0,0.206
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,0.2681,22,0.1229,0.7541,0.0506,0.0,0.0,0.1229,0.1092,0.0,0.6449,0.0724,0.0,0.205
51-9071.00,Jewelers and Precious Stone and Metal Workers,0.2671,30,0.1133,0.6287,0.1114,0.0,0.1504,0.0734,0.0,0.0,0.6648,0.0,0.0,0.204
51-3093.00,Food Cooking Machine Operators and Tenders,0.2663,17,0.1382,0.7366,0.0,0.0,0.0,0.1382,0.3932,0.0,0.4686,0.0,0.0,0.203
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.2661,26,0.1032,0.7236,0.0395,0.0,0.0,0.1294,0.1966,0.0,0.5863,0.0481,0.0,0.202
51-4062.00,"Patternmakers, Metal and Plastic",0.2624,15,0.0702,0.7105,0.0452,0.0,0.0914,0.0827,0.1063,0.0,0.6041,0.0,0.0702,0.2
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.2616,27,0.1377,0.6919,0.1033,0.0,0.0254,0.157,0.1727,0.05,0.4917,0.0,0.0,0.199
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.2612,20,0.058,0.7481,0.0634,0.0,0.0,0.058,0.1962,0.0,0.6238,0.0586,0.0,0.198
49-9071.00,"Maintenance and Repair Workers, General",0.2586,27,0.2017,0.7152,0.0348,0.0,0.0378,0.1291,0.0461,0.0831,0.6691,0.0,0.0,0.197
29-2056.00,Veterinary Technologists and Technicians,0.2569,31,0.1201,0.6846,0.0,0.5817,0.0,0.1501,0.0339,0.029,0.2053,0.0,0.0,0.196
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.2568,17,0.0768,0.6649,0.0,0.0,0.0,0.1223,0.362,0.0,0.5157,0.0,0.0,0.195
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",0.2561,30,0.1813,0.7803,0.07,0.0,0.0349,0.076,0.0176,0.0783,0.7231,0.0,0.0,0.194
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,0.2555,18,0.0855,0.6688,0.0,0.0,0.0,0.0855,0.2175,0.0,0.697,0.0,0.0,0.193
51-3021.00,Butchers and Meat Cutters,0.2554,11,0.1549,0.7307,0.0904,0.0,0.0,0.0645,0.0,0.0729,0.7307,0.0415,0.0,0.192
